Corrective Action Plan — Fixing Drift & Filling Gaps					
"Ordered by impact: fix the things that caused drift first, then fill feature gaps, then add lost features"					
					
Priority	Action ID	Action Description	Addresses Want(s)	Effort	Blocks
P0 — CRITICAL	FIX-01	Fix image engine Hamming distance bug (hex?bit comparison) — ALL image results are currently wrong	"W-01, W-02"	2h	All image scanning
P0 — CRITICAL	FIX-02	Verify image engine end-to-end after Hamming fix (scan?results?preview?delete)	"W-01, W-02"	3h	User trust in image results
P0 — CRITICAL	FIX-03	"Verify music engine end-to-end (confirm false-positive fix, test tagged/untagged mix)"	W-01	2h	Music mode usability
P1 — HIGH	FIX-04	Rewrite left panel as 2-tab layout (Scan Folders / Protect Folders) — eliminate cramped sections	"W-12, W-16, W-23"	4h	"Ashisoft parity, UX quality"
P1 — HIGH	FIX-05	Build pre-scan empty state view — 'Add folders and click Search Now' with numbered steps	"W-12, W-35"	3h	"Premium feel, first impression"
P1 — HIGH	FIX-06	Build scanning state — progress bar + filename + live counters in results area	"W-12, W-36"	2h	"Premium feel, user feedback"
P1 — HIGH	FIX-07	"Build real Settings dialog (replace messagebox.showinfo stubs) — scan options, general, appearance"	"W-12, W-17, W-43"	4h	"Premium feel, configurability"
P2 — NORMAL	FIX-08	Wire video engine to orchestrator + UI (with FFmpeg graceful fallback)	W-01	4h	Video mode completion
P2 — NORMAL	FIX-09	Wire music engine to orchestrator + UI	W-01	2h	Music mode completion
P2 — NORMAL	FIX-10	Verify/create large file engine + wire utility engines to UI	"W-03, W-04"	3h	Utility mode completion
P2 — NORMAL	FIX-11	"Implement all 10 selection rules (especially: highest res, largest size — user's specific request)"	"W-09, W-22"	4h	Bulk deletion usability
P2 — NORMAL	FIX-12	"Rewrite preview panel (collapsed default, context-sensitive, remove Keep A/B user never asked for)"	W-29	3h	UX consistency
P2 — NORMAL	FIX-13	Build Scan History dialog (internal metrics — user's explicit request)	W-18	2h	User requirement W-18
P2 — NORMAL	FIX-14	Build Undo delete toast (30s restore window)	W-28	2h	Safety feature
P3 — LOW	FIX-15	Add drag-and-drop folder support	W-25	2h	Premium UX
P3 — LOW	FIX-16	Add keyboard shortcuts	W-26	2h	Power user UX
P3 — LOW	FIX-17	"Window state persistence (size, position, panels, last folders)"	W-27	2h	Premium UX
P3 — LOW	FIX-18	"Build complete VS Code theme system (80 slots, 12 themes, live switching, editor)"	W-15	16h	User's explicit feature request
P4 — RECOVER	FIX-19	"Add dry run mode (was in original Phase 5, lost in restructuring)"	W-37	2h	Safety feature gap
P4 — RECOVER	FIX-20	"Add hard link replacement (user wanted Czkawka features, this is a Czkawka feature)"	W-38	3h	Feature gap from Czkawka parity
P4 — RECOVER	FIX-21	Add memory-mapped file reading for large files (user wanted Czkawka speed)	W-40	2h	Performance gap
P4 — RECOVER	FIX-22	Add background pre-scanning when idle (premium differentiator)	W-39	4h	Premium feature gap
P5 — VERIFY	FIX-23	Run performance benchmarks — confirm Czkawka-speed claims are actually met	"W-07, W-19"	3h	User's explicit performance requirement
P5 — VERIFY	FIX-24	Verify configurable similarity threshold is user-adjustable in UI	W-43	1h	Ashisoft deep customization parity
